Date : 2025-06-21 16:37:33
Directory : e:\unitree\Project-RAICOM
Total : 104 files,  9754 codes, 1729 comments, 1884 blanks, all 13367 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Python   |        101 |      9,751 |      1,729 |      1,884 |     13,364 |
| JSON     |          3 |          3 |          0 |          0 |          3 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                     |        104 |      9,754 |      1,729 |      1,884 |     13,367 |
| . (Files)                                                                             |         31 |      2,206 |        338 |        521 |      3,065 |
| IKproject5.6                                                                          |          7 |        415 |         46 |        102 |        563 |
| IKproject5.7                                                                          |         13 |        856 |        161 |        180 |      1,197 |
| Project_V2M                                                                           |         15 |      1,859 |        366 |        335 |      2,560 |
| laser_detect                                                                          |         38 |      4,418 |        818 |        746 |      5,982 |
| laser_detect (Files)                                                                  |         37 |      4,364 |        804 |        734 |      5,902 |
| laser_detect\poses                                                                    |          1 |         54 |         14 |         12 |         80 |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                              | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| e:\unitree\Project-RAICOM\Board.py                                                    | Python   |        152 |         43 |         28 |        223 |
| e:\unitree\Project-RAICOM\BusServoCmd.py                                              | Python   |        119 |         14 |          8 |        141 |
| e:\unitree\Project-RAICOM\Detect3.1.1.py                                              | Python   |         89 |         14 |         28 |        131 |
| e:\unitree\Project-RAICOM\Detect3.1.2.py                                              | Python   |        127 |         22 |         37 |        186 |
| e:\unitree\Project-RAICOM\Detect3.1.3.1.py                                            | Python   |        153 |         24 |         39 |        216 |
| e:\unitree\Project-RAICOM\Detect3.1.3.py                                              | Python   |        154 |         25 |         39 |        218 |
| e:\unitree\Project-RAICOM\Detect3.1.py                                                | Python   |         88 |         13 |         25 |        126 |
| e:\unitree\Project-RAICOM\Detect3.1_optimized.py                                      | Python   |        109 |         16 |         28 |        153 |
| e:\unitree\Project-RAICOM\Detect3.2.py                                                | Python   |         75 |          7 |         17 |         99 |
| e:\unitree\Project-RAICOM\Detect3.3.1.py                                              | Python   |         86 |         12 |         19 |        117 |
| e:\unitree\Project-RAICOM\Detect3.3.2.py                                              | Python   |         93 |         14 |         22 |        129 |
| e:\unitree\Project-RAICOM\Detect3.3.3.py                                              | Python   |         78 |         11 |         18 |        107 |
| e:\unitree\Project-RAICOM\Detect3.3.4.py                                              | Python   |         85 |         11 |         24 |        120 |
| e:\unitree\Project-RAICOM\Detect3.3.5.py                                              | Python   |        100 |         14 |         19 |        133 |
| e:\unitree\Project-RAICOM\Detect3.3.5_DSoptimized.py                                  | Python   |        123 |         13 |         24 |        160 |
| e:\unitree\Project-RAICOM\Detect3.3.py                                                | Python   |         86 |         10 |         22 |        118 |
| e:\unitree\Project-RAICOM\Detect_unexpectedsuccess.py                                 | Python   |         85 |         12 |         26 |        123 |
| e:\unitree\Project-RAICOM\ForTest.py                                                  | Python   |          6 |          0 |          3 |          9 |
| e:\unitree\Project-RAICOM\IKproject5.6\Detect3.1.3.py                                 | Python   |        154 |         25 |         39 |        218 |
| e:\unitree\Project-RAICOM\IKproject5.6\ReadPosition.py                                | Python   |         54 |          1 |         10 |         65 |
| e:\unitree\Project-RAICOM\IKproject5.6\Test-RT.py                                     | Python   |         15 |          6 |          7 |         28 |
| e:\unitree\Project-RAICOM\IKproject5.6\calibrate_rigid_transform.py                   | Python   |         42 |          4 |         12 |         58 |
| e:\unitree\Project-RAICOM\IKproject5.6\kinematic_demo.py                              | Python   |         48 |          4 |         10 |         62 |
